#TYPE Microsoft.ActiveDirectory.Management.ADUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GivenName,Surname,Name,ObjectClass,UserPrincipalName,SamAccountName,Office,Description,PasswordNeverExpires,Enabled,SmartCardLogonRequired,AccountPassword,DisplayName,EmailAddress,Title,Description,Organization,State,City,Country,HomePhone,OfficePhone,Initials,Company,Office,Division,EmployeeID,EmployeeNumber,CannotChangePassword,ChangePasswordAtLogon,PasswordNotRequired,PasswordNeverExpires
,, ,User,CN= ,,,,,$TRUE,$FALSE,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,User,CN= ,,,,,,,,,,,,,,,,,,,,,,,,,,,
